Order ID,Customer ID,Product Name,Category,Order Date,Return Date,Return Reason,Refund Amount,Processing Time (Days),Customer Type,Region
1001,C7618,Water Purifier,Home & Kitchen,2024-01-03,2024-01-16,Wrong Size,5999,9,Returning,Mumbai
1002,C8448,Denim Jacket,Fashion,2024-01-21,2024-02-01,Other,1999,3,New,Delhi
1003,C5932,Football,Sports,2024-01-27,2024-02-01,Late Delivery,799,7,Returning,Bangalore
1004,C1166,Wireless Mouse,Electronics,2024-01-21,2024-01-30,Other,599,4,Returning,Mumbai
1005,C9960,Laptop Cooling Pad,Electronics,2024-01-29,2024-02-11,Wrong Size,1299,10,Returning,Ahmedabad
1006,C3156,Laptop Cooling Pad,Electronics,2024-01-30,2024-02-09,Other,1299,8,New,Bangalore
1007,C2683,Football,Sports,2024-01-01,2024-01-13,Wrong Product,799,4,New,Delhi
1008,C9493,Science Fiction,Books,2024-01-28,2024-02-07,Other,699,7,New,Bangalore
1009,C4723,Science Fiction,Books,2024-01-13,2024-01-25,Late Delivery,699,6,New,Chennai
1010,C1986,Pressure Cooker,Home & Kitchen,2024-01-08,2024-01-21,Defective,2499,9,Returning,Kolkata
1011,C1871,Yoga Mat,Sports,2024-01-09,2024-01-17,Wrong Size,599,4,Returning,Chennai
1012,C4353,Yoga Mat,Sports,2024-01-14,2024-01-24,Defective,599,8,Returning,Pune
1013,C4504,Dumbbells,Sports,2024-01-08,2024-01-23,Late Delivery,2999,5,Returning,Delhi
1014,C2770,History of India,Books,2024-01-09,2024-01-16,Wrong Product,999,3,Returning,Bangalore
1015,C7005,Sunglasses,Fashion,2024-01-22,2024-01-30,Defective,999,8,New,Ahmedabad
1016,C9863,Dumbbells,Sports,2024-01-17,2024-01-27,Defective,2999,8,Returning,Mumbai
1017,C6364,Pressure Cooker,Home & Kitchen,2024-01-20,2024-01-29,Wrong Product,2499,9,Returning,Chennai
1018,C8217,Yoga Mat,Sports,2024-01-09,2024-01-15,Late Delivery,599,10,Returning,Kolkata
1019,C2535,Self-Help Guide,Books,2024-01-18,2024-01-23,Other,499,7,Returning,Chennai
1020,C6167,Leather Wallet,Fashion,2024-01-20,2024-01-25,Wrong Size,899,9,New,Hyderabad
1021,C8234,Laptop Cooling Pad,Electronics,2024-01-24,2024-02-01,Other,1299,8,New,Mumbai
1022,C1265,Denim Jacket,Fashion,2024-01-20,2024-02-03,Defective,1999,4,Returning,Kolkata
1023,C1049,Business Strategies,Books,2024-01-09,2024-01-14,Late Delivery,899,5,New,Pune
1024,C6575,History of India,Books,2024-01-16,2024-01-25,Wrong Size,999,3,Returning,Mumbai
1025,C3672,Science Fiction,Books,2024-01-08,2024-01-22,Late Delivery,699,5,New,Pune
1026,C3720,Water Purifier,Home & Kitchen,2024-01-04,2024-01-15,Defective,5999,3,New,Bangalore
1027,C2776,Water Purifier,Home & Kitchen,2024-01-06,2024-01-20,Wrong Size,5999,10,Returning,Pune
1028,C2997,Laptop Cooling Pad,Electronics,2024-01-24,2024-02-02,Defective,1299,9,Returning,Ahmedabad
1029,C3331,Laptop Cooling Pad,Electronics,2024-01-13,2024-01-24,Wrong Product,1299,10,New,Chennai
1030,C6206,Football,Sports,2024-01-06,2024-01-14,Other,799,3,Returning,Mumbai
1031,C8445,Badminton Racket,Sports,2024-01-23,2024-02-06,Wrong Size,1299,7,New,Mumbai
1032,C2658,Leather Wallet,Fashion,2024-01-26,2024-02-01,Other,899,4,Returning,Pune
1033,C5156,Science Fiction,Books,2024-01-13,2024-01-19,Late Delivery,699,7,New,Chennai
1034,C8007,Running Shoes,Fashion,2024-01-02,2024-01-13,Wrong Product,1499,5,New,Bangalore
1035,C2410,Leather Wallet,Fashion,2024-01-23,2024-01-28,Late Delivery,899,3,Returning,Mumbai
1036,C5045,Running Shoes,Fashion,2024-01-12,2024-01-18,Wrong Size,1499,10,Returning,Chennai
1037,C4413,Air Fryer,Home & Kitchen,2024-01-28,2024-02-09,Wrong Product,4999,8,New,Mumbai
1038,C8925,Bluetooth Headphones,Electronics,2024-01-28,2024-02-07,Other,1999,5,New,Chennai
1039,C9481,Laptop Cooling Pad,Electronics,2024-01-11,2024-01-24,Late Delivery,1299,8,New,Mumbai
1040,C3903,Badminton Racket,Sports,2024-01-18,2024-01-31,Defective,1299,10,Returning,Bangalore
1041,C8851,Pressure Cooker,Home & Kitchen,2024-01-26,2024-02-07,Wrong Product,2499,3,Returning,Chennai
1042,C8121,Science Fiction,Books,2024-01-28,2024-02-05,Other,699,9,Returning,Pune
1043,C2251,Laptop Cooling Pad,Electronics,2024-01-01,2024-01-14,Wrong Size,1299,4,New,Bangalore
1044,C1156,Pressure Cooker,Home & Kitchen,2024-01-04,2024-01-19,Wrong Product,2499,8,New,Ahmedabad
1045,C2463,Badminton Racket,Sports,2024-01-31,2024-02-10,Defective,1299,3,New,Delhi
1046,C8318,Sunglasses,Fashion,2024-01-02,2024-01-12,Other,999,7,Returning,Pune
1047,C1976,Air Fryer,Home & Kitchen,2024-01-10,2024-01-15,Late Delivery,4999,10,New,Pune
1048,C2597,History of India,Books,2024-01-08,2024-01-16,Wrong Size,999,4,New,Ahmedabad
1049,C2000,Water Purifier,Home & Kitchen,2024-01-09,2024-01-20,Late Delivery,5999,3,Returning,Chennai
1050,C8063,Bluetooth Headphones,Electronics,2024-01-22,2024-01-27,Late Delivery,1999,5,Returning,Ahmedabad
1051,C7808,Leather Wallet,Fashion,2024-01-14,2024-01-23,Wrong Size,899,8,Returning,Chennai
1052,C7103,Pressure Cooker,Home & Kitchen,2024-01-24,2024-02-03,Late Delivery,2499,5,New,Kolkata
1053,C4648,Vacuum Cleaner,Home & Kitchen,2024-01-11,2024-01-23,Late Delivery,3999,3,New,Mumbai
1054,C2909,Laptop Cooling Pad,Electronics,2024-01-09,2024-01-19,Wrong Product,1299,7,Returning,Ahmedabad
1055,C8665,Self-Help Guide,Books,2024-01-25,2024-01-30,Late Delivery,499,5,New,Bangalore
1056,C7986,Yoga Mat,Sports,2024-01-17,2024-02-01,Wrong Product,599,3,Returning,Chennai
1057,C1119,Laptop Cooling Pad,Electronics,2024-01-26,2024-02-07,Defective,1299,10,New,Bangalore
1058,C1141,Yoga Mat,Sports,2024-01-11,2024-01-18,Other,599,5,New,Kolkata
1059,C4175,Sunglasses,Fashion,2024-01-14,2024-01-23,Other,999,6,Returning,Bangalore
1060,C1784,Badminton Racket,Sports,2024-01-26,2024-02-10,Defective,1299,5,New,Kolkata
1061,C9024,Pressure Cooker,Home & Kitchen,2024-01-18,2024-01-26,Other,2499,7,Returning,Ahmedabad
1062,C3279,Dumbbells,Sports,2024-01-12,2024-01-17,Defective,2999,9,Returning,Delhi
1063,C6189,Vacuum Cleaner,Home & Kitchen,2024-01-10,2024-01-20,Wrong Size,3999,7,New,Pune
1064,C4501,Yoga Mat,Sports,2024-01-06,2024-01-15,Other,599,9,New,Bangalore
1065,C1808,Denim Jacket,Fashion,2024-01-17,2024-02-01,Defective,1999,4,New,Hyderabad
1066,C7518,Dumbbells,Sports,2024-01-24,2024-02-01,Late Delivery,2999,3,Returning,Ahmedabad
1067,C3160,Sunglasses,Fashion,2024-01-14,2024-01-21,Wrong Product,999,8,Returning,Mumbai
1068,C7874,Pressure Cooker,Home & Kitchen,2024-01-05,2024-01-16,Defective,2499,4,New,Hyderabad
1069,C4744,History of India,Books,2024-01-29,2024-02-12,Wrong Product,999,4,New,Kolkata
1070,C5172,Dumbbells,Sports,2024-01-01,2024-01-06,Defective,2999,4,Returning,Hyderabad
1071,C4522,Vacuum Cleaner,Home & Kitchen,2024-01-19,2024-02-01,Wrong Product,3999,10,New,Kolkata
1072,C2227,Leather Wallet,Fashion,2024-01-01,2024-01-07,Other,899,3,Returning,Hyderabad
1073,C8573,Badminton Racket,Sports,2024-01-28,2024-02-04,Wrong Product,1299,3,Returning,Hyderabad
1074,C5937,Badminton Racket,Sports,2024-01-02,2024-01-11,Wrong Size,1299,4,New,Kolkata
1075,C6173,Self-Help Guide,Books,2024-01-22,2024-02-05,Wrong Size,499,4,New,Mumbai
1076,C1713,Water Purifier,Home & Kitchen,2024-01-04,2024-01-17,Late Delivery,5999,10,New,Mumbai
1077,C7570,Pressure Cooker,Home & Kitchen,2024-01-30,2024-02-05,Other,2499,6,New,Hyderabad
1078,C6823,Yoga Mat,Sports,2024-01-04,2024-01-16,Defective,599,10,Returning,Mumbai
1079,C3543,History of India,Books,2024-01-14,2024-01-22,Late Delivery,999,6,Returning,Mumbai
1080,C4818,Bluetooth Headphones,Electronics,2024-01-07,2024-01-19,Wrong Product,1999,4,Returning,Mumbai
1081,C9673,Business Strategies,Books,2024-01-06,2024-01-16,Defective,899,10,New,Ahmedabad
1082,C4476,Vacuum Cleaner,Home & Kitchen,2024-01-10,2024-01-22,Wrong Size,3999,8,Returning,Mumbai
1083,C4633,Sunglasses,Fashion,2024-01-01,2024-01-16,Late Delivery,999,4,New,Pune
1084,C4220,Leather Wallet,Fashion,2024-01-14,2024-01-20,Wrong Size,899,9,New,Kolkata
1085,C1136,Science Fiction,Books,2024-01-19,2024-02-02,Late Delivery,699,10,New,Mumbai
1086,C8131,Football,Sports,2024-01-07,2024-01-16,Defective,799,7,Returning,Bangalore
1087,C1204,Business Strategies,Books,2024-01-05,2024-01-15,Late Delivery,899,5,New,Hyderabad
1088,C2017,Science Fiction,Books,2024-01-19,2024-01-27,Other,699,9,New,Delhi
1089,C9877,Pressure Cooker,Home & Kitchen,2024-01-11,2024-01-18,Late Delivery,2499,8,New,Delhi
1090,C1947,Sunglasses,Fashion,2024-01-29,2024-02-05,Defective,999,3,Returning,Bangalore
1091,C1889,Wireless Mouse,Electronics,2024-01-27,2024-02-06,Late Delivery,599,6,New,Delhi
1092,C4293,Air Fryer,Home & Kitchen,2024-01-27,2024-02-03,Other,4999,5,New,Mumbai
1093,C6708,Bluetooth Headphones,Electronics,2024-01-29,2024-02-06,Wrong Size,1999,5,New,Kolkata
1094,C6614,Bluetooth Headphones,Electronics,2024-01-29,2024-02-07,Wrong Product,1999,4,New,Kolkata
1095,C4068,Running Shoes,Fashion,2024-01-21,2024-02-04,Wrong Size,1499,8,New,Hyderabad
1096,C2439,Football,Sports,2024-01-12,2024-01-22,Other,799,4,Returning,Delhi
1097,C3687,Bluetooth Headphones,Electronics,2024-01-19,2024-02-03,Defective,1999,8,Returning,Chennai
1098,C2920,Running Shoes,Fashion,2024-01-18,2024-01-23,Late Delivery,1499,4,Returning,Delhi
1099,C8245,Pressure Cooker,Home & Kitchen,2024-01-29,2024-02-10,Wrong Size,2499,3,New,Pune
1100,C4129,Yoga Mat,Sports,2024-01-08,2024-01-13,Defective,599,8,New,Chennai
1101,C2339,History of India,Books,2024-01-25,2024-02-04,Defective,999,5,Returning,Hyderabad
1102,C1937,Pressure Cooker,Home & Kitchen,2024-01-31,2024-02-09,Wrong Size,2499,6,Returning,Mumbai
1103,C4726,History of India,Books,2024-01-18,2024-02-01,Defective,999,6,Returning,Mumbai
1104,C8881,Bluetooth Headphones,Electronics,2024-01-03,2024-01-14,Wrong Size,1999,3,Returning,Ahmedabad
1105,C6637,Badminton Racket,Sports,2024-01-04,2024-01-14,Wrong Size,1299,7,New,Chennai
1106,C3266,Smartwatch,Electronics,2024-01-12,2024-01-27,Other,2999,6,Returning,Kolkata
1107,C2124,Pressure Cooker,Home & Kitchen,2024-01-17,2024-01-22,Other,2499,8,New,Mumbai
1108,C4104,Wireless Mouse,Electronics,2024-01-29,2024-02-12,Defective,599,10,Returning,Delhi
1109,C9829,Denim Jacket,Fashion,2024-01-31,2024-02-08,Wrong Product,1999,4,Returning,Ahmedabad
1110,C4984,Laptop Cooling Pad,Electronics,2024-01-29,2024-02-04,Other,1299,7,Returning,Mumbai
1111,C6443,Leather Wallet,Fashion,2024-01-24,2024-01-31,Other,899,4,Returning,Kolkata
1112,C6419,Dumbbells,Sports,2024-01-30,2024-02-08,Wrong Size,2999,3,New,Pune
1113,C3433,Air Fryer,Home & Kitchen,2024-01-23,2024-01-31,Defective,4999,10,Returning,Chennai
1114,C7564,Denim Jacket,Fashion,2024-01-05,2024-01-20,Wrong Size,1999,5,New,Ahmedabad
1115,C4881,Air Fryer,Home & Kitchen,2024-01-05,2024-01-16,Defective,4999,10,New,Kolkata
1116,C6296,Water Purifier,Home & Kitchen,2024-01-12,2024-01-17,Other,5999,3,Returning,Mumbai
1117,C6977,Wireless Mouse,Electronics,2024-01-12,2024-01-20,Other,599,5,New,Kolkata
1118,C6619,Bluetooth Headphones,Electronics,2024-01-16,2024-01-26,Wrong Product,1999,9,Returning,Kolkata
1119,C3303,Business Strategies,Books,2024-01-14,2024-01-22,Other,899,4,Returning,Mumbai
